city_id,city_name,ranking,crime_index,safety_index
3396,"Baltimore, MD",16,74.72956020112508,25.270439798874932
3446,"Memphis, TN",17,74.50273474482248,25.497265255177535
3414,"Detroit, MI",19,73.27886592739773,26.72113407260227
3476,"Saint Louis, MO",23,70.33971170543452,29.660288294565472
3387,"Albuquerque, NM",24,70.1142718594404,29.88572814055962
3449,"Milwaukee, WI",29,68.54929680496866,31.450703195031352
3405,"Chicago, IL",40,64.96483204786925,35.035167952130735
3454,"New Orleans, LA",42,64.8573593948684,35.142640605131604
3407,"Cleveland, OH",46,64.66550194738528,35.33449805261471
3428,"Houston, TX",52,63.893690638241,36.10630936175902
3459,"Oakland, CA",53,63.81607321325614,36.18392678674386
3389,"Anchorage, AK",55,63.24885375113381,36.751146248866185
3391,"Atlanta, GA",62,62.30089309111178,37.699106908888226
3465,"Philadelphia, PA",67,61.47228985575818,38.52771014424183
3437,"Kansas City, MO",81,58.7065364302437,41.29346356975629
3497,"Washington, DC",84,57.66801480776386,42.33198519223614
3431,"Indianapolis, IN",86,57.563898397963364,42.436101602036636
3435,"Jacksonville, FL",91,56.6364781022318,43.36352189776821
3483,"San Francisco, CA",92,56.24836045681008,43.75163954318991
3438,"Las Vegas, NV",97,55.720857766248464,44.27914223375154
3489,"Spokane, WA",104,54.47342341191796,45.526576588082044
3448,"Miami, FL",120,53.148279374757514,46.851720625242486
3443,"Louisville, KY",123,52.79568456426042,47.20431543573958
3450,"Minneapolis, MN",127,52.423057776759514,47.57694222324048
3466,"Phoenix, AZ",129,52.0961022485167,47.9038977514833
3462,"Orlando, FL",133,51.92870873320501,48.07129126679499
3494,"Tucson, AZ",141,50.52176091871778,49.47823908128222
3411,"Dallas, TX",144,50.19940933904118,49.80059066095881
3492,"Tampa, FL",150,49.23026518889329,50.769734811106716
3406,"Cincinnati, OH",151,49.139127228056196,50.860872771943804
3487,"Seattle, WA",152,49.10875760961242,50.89124239038758
3475,"Sacramento, CA",153,49.05901161072131,50.940988389278694
3469,"Portland, OR",155,48.966604718312695,51.033395281687305
3442,"Los Angeles, CA",160,48.27960545006249,51.72039454993751
3480,"San Antonio, TX",161,48.193039179144016,51.806960820855984
8029,"Nashville, TN",166,47.77645546607613,52.22354453392387
3455,"New York, NY",180,46.85391562964994,53.14608437035007
3484,"San Jose, CA",183,46.525742166335675,53.474257833664325
3461,"Omaha, NE",192,45.41685372113693,54.58314627886307
3472,"Richmond, VA",197,45.01690370664275,54.98309629335724
3402,"Buffalo, NY",198,44.99345016961246,55.006549830387534
3403,"Charlotte, NC",203,44.186506572237306,55.813493427762694
3427,"Honolulu, HI",205,43.91478711309779,56.08521288690221
3409,"Columbus, OH",211,43.43155619190465,56.56844380809536
3412,"Denver, CO",216,43.152011554676214,56.847988445323786
3473,"Riverside, CA",255,39.31993931422758,60.680060685772425
9925,"Brooklyn, NY",264,38.727799827856785,61.27220017214322
3467,"Pittsburgh, PA",274,37.76841670398489,62.2315832960151
3399,"Boise, ID",282,36.79233018981377,63.207669810186246
3482,"San Diego, CA",286,36.509958008935975,63.490041991064025
3393,"Austin, TX",293,35.87408039978227,64.12591960021774
3400,"Boston, MA",298,35.298037173966264,64.70196282603374
3470,"Raleigh, NC",305,34.452299008308565,65.54770099169143
3445,"Madison, WI",315,33.3004082397801,66.69959176021993
3479,"Salt Lake City, UT",316,33.16282990415988,66.83717009584011
3416,"El Paso, TX",322,32.03628579966242,67.96371420033756
9269,"Amarillo, TX",404,22.744976888287898,77.2550231117121
8366,"Irvine, CA",420,20.10703483367843,79.89296516632157
